,number,日付,ユーザー名,コメント
1,1-1,3時間前,rau*****,脅威はむしろ対応の遅い政府なのかもしれない。
2,1-2,3時間前,you*****,まだ確認には至らないとか言ってるぞ
3,1-3,3時間前,ufu*****,"確認してからじゃ遅いのよ
いつになったら先手を取ることを覚えるのかしら"
4,1-4,3時間前,くかー,"イタリヤやら、エゲレスから、
人がたくさん来てるでしょ(-_-;)"
5,1-5,3時間前,jdg*****,"変異種は
毒性が弱く、
以前からある
コロナウイルス（風邪ウイルス）
と専門家は指摘していますね！

マスコミは
相変わらず
不確かな情報を
垂れ流し、何とかなりませんか？"
6,1-6,3時間前,tam*****,なんか東京株って話もあったけど？
7,1-7,3時間前,fuj*****,"未確認て確認をして見つからないのか、確認すらしていないのか、どっち？
それによって全然違うんだけどさ。

そろそろ８月から始めた後遺症の研究結果も公表してよ。やる事なす事、本当に遅いよね。"
8,1-8,3時間前,nzu*****,"確認さないだけかもよ。
あとで分かるかもね。
現在のコロナの感染状況をみると、夏より感染力が高いとも言える。
季節性だけで、片付けられているだけかもよ。"
9,1-9,3時間前,atc*****,"イギリスで感染が確認されたウイルスが、人の動きで日本に来るとすれば、日本で確認されるのは多分年明けくらいです。

今確認されていないから対応しないという今までのスタンスを変えないのであれば、今度は変異ウイルスに対しても後手に回ることになりますよ。

もしこの変異ウイルスに従来の拡散傾向や治療法とことなる部分があるのであれば、政府が大好きな'エビデンス'は、またしても医療現場の苦しみとなって現れるということを、少しは想像して欲しい。"
10,1-10,3時間前,pla*****,変異種は入ってくるし、日本国内でも変異するかもな。これだけ人間がいれば可能性は高い。
11,2-1,3時間前,,"おせー

サルでもわかることだ！！！

即刻　イギリス　２週間以内に立ち寄った入国者を拒否しろ！！！！"
12,2-2,3時間前,ＫＫ,"入国制限再び強化はしないんですかね。
韓国も第３波、中国も感染者が出ている地域がある。
日本も他人事ではない。感染者がたくさん出てるんだから。"
13,2-3,3時間前,hik*****,あとで誤解だったなんて言うなよ！
14,2-4,3時間前,huyunobara,"国内で変異種が確認されてないなら、
尚更の事、日本への入国者を拒否すべきでしょう。
EUは今パニックですよ。"
15,2-5,3時間前,ariko,"コロナ変異種が国内で確認されないことに越したことはない。
イギリスやイタリアで確認されたのだから、日本も時間の問題かもしれない、
外国からの感染を防ぐには、入国者に対する徹底した検疫しかないのか？"
16,2-6,3時間前,kgo*****,"ジョンソンも「かなり不確かな情報」、WHOも確証無し、って言ってんだからエビデンス全く無い話なの。変異なんて毎日してんだよ。
３波とゴッチャになっての70％かもしれないでしょ。いや知らんけど。
現にイギリスの死者数なんて５月よりまだ全然少ないわけだし。
恐怖煽れる格好のネタってだけなんだよ、マスコミはただ盛り上げたいだけなの。
だから分からないうちからギャーギャー騒ぐな、メディアリテラシーの低いマスコミ奴隷。"
17,2-7,3時間前,iki*****,"１０か月前に「（コロナは）人から人へは感染しません」と言っていた
その「同じ口」で言われても、「信頼性は完璧にゼロ」です。
それにいずれ入ってくるのは確実なので、気休めはやめて、外国人の
入国制限を今より厳格化する事が至急案件です。急いでやって下さい。
政府与党は己が懐に入るカネの事ばかり考えず、少しは国民の為に働いて下さい。"
18,2-8,3時間前,sup*****,ヨーロッパではすでに拡散していますし、治療法もまだ分からないと思いますし、入国制限を緩和している国経由で入り込むことも十分考えられるので、即時、明日からでも全世界からの入国禁止措置を取るべきです。
19,2-9,2時間前,kir*****,"なら今のうちに抑えてくれ。
入国緩和のせいで変異種入ってきたらどうすんの？"
20,2-10,2時間前,nin*****,お願いですから、対策してくださいね。
21,3-1,2時間前,今日の数言,"ついに
何も見えない事にするんですか
凄いですね（笑）"
22,3-2,2時間前,rlv*****,だから、入国制限は直ちに検討はしないっていうこと？
