,number,ユーザー名,コメント
1,1-1,Adgjmp,この大臣、発信力ないなあ
2,1-2,野球好き,"厚労大臣お久しぶりです！

久しぶりに見ました

それで日本平気ですか？"
3,1-3,ソースはオタフク,そんなことを言っても、飲食店をターゲットに20時までの時短をすれば感染者が減るようなミスリードをしているのは政府じゃないか。
4,1-4,rwu*****,"みなまで言うな。
揚げ足取り好きやなぁ日本人は。"
5,1-5,gvm*****,昼間でも同じなのに、昼間はオッケーの免罪符を与えた、もしくはそういう誤解を与えたのは菅内閣でしょうが。
6,1-6,rlv*****,"ヤンキー高の生徒に注意する先生みたい。
たぶん今飲んでる人達には聞いてもらえない。"
7,1-7,bsz*****,こいつら学習能力無いしどうにもならん(^ ^)
8,1-8,kur*****,"皆不急の外出なんてしたことないと思うけど
まだそういうこと言うの？"
9,1-9,ぺろりん,え？そうだったの？20時門限じゃダメかぁ。
10,1-10,vae*****,急に登場したけどどした？
11,2-1,,遅いよ笑！
12,2-2,愛の化身,断る！　私は20時前の自粛要請には協力しない。
13,2-3,lgw*****,"そんなこと常識ある人ならわかってる…わからない人たちへのメッセージとして政府の伝え方が下手すぎる結果では？？
大体、議員の皆さん会食のルールを決めるため密で会議をされて、夜８時まで4人以内にすることなんて呑気なこと言ってましたよね？医師会の方にダメ出しをされて結局ルールを決めることはしませんでしたが、ご自分達のお仲間もキチンと理解できていないのに国民に伝わるわけがない。"
14,2-4,dan*****,体調悪いのに出勤です、出来るところはテレワーク義務にしてくれないと会社が従いませんなんとかしてください。
15,2-5,*****,ランチタイムに移行してるだけ。ファミレス勤務より。
16,2-6,dra*****,"勤務地の近くで会話禁止のランチ店があれは月～金、毎日利用したいです。

5分で食べて、さっさと職場に戻ります。"
17,2-7,y13*****,"何を言っても反論しかしないヤフコメの民度。
感染して苦しむのは自分だよ。"
18,2-8,nid*****,まず政治家に従わせないと空しい掛け声。
19,2-9,imv*****,それは無理、何の補償もなしに協力など出来ない。生活を守る為に働くしかねーんだよ
20,2-10,zat*****,"誰が感染を拡げた？
菅？
GOTO？

責任は誰にある？
政府？
マスコミ？

国民自身じゃないの？
自分じゃない誰か、のせいかもしれないけど

それを認めない限り
打開されないと思う"
21,3-1,,"そこまで言わなきゃならんお子様な国民では困るね。
昼間のことわざわざ言わないのは一般的に昼間は仕事か学校だからだろ？
そして終わったらすぐ家に帰るか最低限の飲食済ませて帰ろうねってことだ。
グダグダ酒飲むのは家でってね。"
22,3-2,Leonard,"それ、同時に更なるテレワークなり、
エッセンシャルワーカーのみの出勤を要請する事も言わないと、意味ないと思うよ…。"
23,3-3,kar*****,緊急事態宣言でテレワークしてんだから電気代くらい出せや。補償しないんなら今までと大して変わんねーぞ。
24,3-4,tok*****,"政府自体がまとまってないから、発言の効果がなく求心力がない。
緊急時に非常に残念な内閣だ。"
25,3-5,melgrade,"こんな当たり前の事を大臣が伝えないといけないほど、日本人の民度も下がったか。
でもそれを言うなら、議員の先生方も不要不急の外出はしないよう徹底してほしい。"
26,3-6,オーガ*****,"まず

外国のビジネス客

を止めてください、
国内鎮静化もそうだけど変異種これ以上持ち込まれたら収拾つかなくなる"
27,3-7,abc*****,"やることが形骸化してるんじゃないかと思います。
やっている風を演じている。。。
それじゃあ、感染は拡大するだけです。"
28,3-8,rxo*****,国民だけに我慢をさせてないかい？
29,3-9,ats*****,店は営業してるのに外出自粛って意味不明。
30,3-10,*******,これだけの期間、毎日同じ事を言われていても分からない人がいるんだから、もう言っても無駄だよね。残念ながら、日本人の民度も地に落ちました。
31,4-1,liv*****,"20時までの営業にしたらそのしわ寄せが昼間に来るのは当たり前。
そんな小学生でも解るようなことを政治主導していることが問題でしょう。
日勤勤務している一人暮らしの人間は、業後の18時～20時までにいろいろ済まさないとならないし、ピークタイムに更に人が集中するのも当たり前だ。"
32,4-2,nao*****,"マスクすればいいのに。
アクリル板もあるし一人だからマスクする必要はないけど牽制効果はあるのに。"
33,4-3,vfk*****,"正直娘の方が、アナウンサーな分だけ発信力がある様な気がする。
どうせなら、「2Fさんたちが、切腹をしないで良いわけない」
ぐらい言って欲しかったよ。"
34,4-4,fsk*****,店20時まで開けてたら行って良いよ、飲み食いしていいよって、それが緊急事態宣言策でしょう。　散々テレビで言っておいて、今更、昼間も…は聞かない、効かないよ。
35,4-5,KO,"常識で判断できない人がいるから、緊急事態宣言出すことになったんでしょ。

常識で判断できる人だけであれば、そもそも緊急事態宣言なんてことになっていない。

いい加減わかるだろ。。。
コメントでも免罪符とかミスリードとか、自分の都合良い解釈して文句言ってるやつばっか。。。

ほんと自粛している人からすると、昼飲みのか迷惑でしかない。"
36,4-6,di*****,"普通に考えれば当たり前なのに
こんな事を政府が言わなきゃならないなんて情けない"
37,4-7,mar*****,"外国から入国させないでほしい。
春節が怖い。"
38,4-8,kur*****,"そうなの？
新型コロナウイルスは夜行性かと思った。"
39,4-9,yui*****,"あれだけGoTo! GoTo!とうるさかったのが、手のひら返したこの態度。
要するに、そもそもGoToは大間違いなんだろ！
素直に認めて詫びろよ、二階よ！"
40,4-10,m_t*****,"そんなことは分かっている。昼間は感染リスクが低いと思っている人なんていないでしょう。
確かに多少昼飲みしている人もいるけど、言うほど騒いでいるのでしょうか？"
41,5-1,kni*****,2類扱いを止めろ、インフルエンザと同じ扱いでいいと思う。医療崩壊も防げるだろ？
42,5-2,hag*****,"なんて、下手なコミュニケーション。まずは、しっかり店を閉められるように、金を出せや。罰則とかは、その後の話だろ。
店があいてりゃ 買いにも行くだろうが！"
43,5-3,Donald John Trump,"20時以降で営業してる居酒屋は密がすごいことになってたな
満席でついたて無しのどんちゃん騒ぎだからクラスターは必至だろう"
44,5-4,aey*****,駅や公共交通機関でのマスク非着用者に罰金を課す時限立法を早くやってください。それが貴方達の仕事です。今まで何にも手を打たずにお願いばかりで、誰が耳を貸すと思いますか？性善説にすがるのはいい加減やめてください。
45,5-5,PMX000,"行き当たりばったりなことばかり言ってるな。
止めるなら止めるだけのものを出せ。
動かしている以上、動くに決まっているじゃねえか。
自分らも無駄な会食してるだろうが、ボンクラ。
TBS勤めの娘も父親のこのボンクラさについて、どう思うのだろうな？
まかりなりにも報道側にいるわけでよ。"
