,number,日付,ユーザー名,コメント
1,1-1,3時間前,I ♡ Japan,"二日続けての過去最多…
今週が心配です…"
2,1-2,3時間前,通りすがり,オリンピックは厳しいだろうね
3,1-3,3時間前,his*****,月曜日では過去最多の３９２人…。本当に多い。残念ながらこれからも更新してしまいそう。感染者はもちろんだけど死者や重症者も本当に減って欲しいです。
4,1-4,3時間前,min*****,"今週は出だしから記録更新…
週末が怖いな。
しかもクリスマスか。"
5,1-5,3時間前,小人たち、19人。,"「392人は月曜日としては、過去最多」
↑日々の検査数は全く違うのに、この文言。
これによりメディアが数字でしか判断していないことが、証明された。"
6,1-6,3時間前,pok*****,"だから、重症者が減ったってのは
死んだのか回復したのかどっちなのよ？"
7,1-7,3時間前,mk*****,"今週、罹患するとかなりリスク高くなります。年末年始にまたがるからです。
休診してるクリニックやERへのアクセスもかなりし辛くなるからです。
例年でも、ERはかなり混雑してますが、今年は簡単には受診出来なくなくなると予想されるからです。せめて今週だけは真の勝負の一週間です。"
8,1-8,3時間前,mas*****,"すでに菅政権の入国緩和政策によって外国人7万人が入国。GoTo停止だけでなく“5人以上の会食やめよ”などと叫ぶのに一向に海外から流入するウイルスには批判もしない。航空各社はマスコミにとって優良スポンサー。彼らの「海外便正常化要請」は分るが、露骨過ぎないか。今度は“スポンサー守って国滅ぶ”。

だから減らないのよ。 入国緩和しているうちは抑え込みなんて到底無理よ。春節シーズンはどうなるんだろうか。恐怖でしかない。 日本が大切なら即刻入国制限してほしい。昨日だって海外から成田、羽田など4空港に到着した男女25人 コロナに感染 発表してるし。

イギリスでは変異したウイルスも発表されてる。入国緩和を再び厳しくしてほしい。"
9,1-9,3時間前,tststs,"日テレもTBSも
「月曜最多」という言葉で報じていたが、
800人超えを経験してもなお、
392人で「最多」という言葉を使いたいかね？
「月曜最多」って、意味ある？"
10,1-10,3時間前,cod*****,"年末はコロナじゃなくても医療機関が休みになる時期なので、体調管理はしっかりしなければいけない
救急車来ても受入できない病院が多くなるのは目に見えてるので、せめて年明けまでは普段より気を付けるべき"
11,2-1,3時間前,,水曜日か木曜日あたりに都内1000人越えでクリスマスから年明けまでの緊急事態宣言になりそう。。
12,2-2,3時間前,日本を守ろう,"週末の人出とか見れば当然の結果だよね。
クリスマス関連のイベントとかモニュメントが圧倒的に多いのは東京。
池の鯉にエサを撒いてるのと同じなんだから仕方ない。
イベントやモニュメントの主催者は一体何を考えているのか、寧ろ
そっちの方を聞きたいと思う。

政府が悪い、判断が遅すぎるとは言っても、最終的には個々が如何に
我慢して自制できるかに掛かってる。
ただ最近は、我慢できない大人が増えている気がしてならない。"
13,2-3,3時間前,iba*****,"日曜日に続いて、月曜日の最多更新と数字の底上げが続いている。
Go Toトラベル停止して、大阪・北海道がやや減り気味なのに、東京は増加中。
東京をとにかく収束させないと全国の数字も減らない。
打つ手はもうそんなに残っていない。"
14,2-4,3時間前,ma*****,"これで7日連続で曜日では過去最多。特になにもしなければ減るはずなのに、減らないですね。

毎日の陽性判定者数の発表は警告にもなるし、気が引き締まって行動抑制にもなるし、ある意味感染拡大防止策になっていいのではないかと思う。
政府がなにもしないのだから尚更。"
15,2-5,3時間前,(๑´ڡ`๑),もう、ある程度の年齢から、延命治療をしないでいいと思う。
16,2-6,3時間前,aoy*****,外国人の入国に関してより厳格に規制できないものか。潜伏期間中に入国することだってある。入国者数をみると無防備ではないかと思う。
17,2-7,3時間前,yuk*****,月曜では最多かな。今週も金曜前後に過去最多を更新、1000人/日も有り得るかも。
18,2-8,3時間前,kgr*****,"コロナ変異種、国内未確認　加藤官房長官は未確認と言っているが
そんな事、絶対にないと言えるのか？
政府は一度、外国人の入国制限を発動した方がいい。
イギリスでは、RNA型の特長の突然変異もおこり、
感染力もジョンソン首相も強いと会見している。
欧州もイギリスとの渡航制限を導入する傾向です。

症状がなければ、いまはすぐに入国できるのか。詳細は
解らないですが、即入国すれば、その後いきなり、外国株の
ウイルスが日本に流入して大変な事になる。

検査して症状がなくても、2週間の隔離がされていない様であれば
入国制限を入国制限をかけるべきです。
初めは中国人の入国禁止措置を遅れてとったが、欧州・アメリカ
といった国の入国制限は取らなかったため、日本のウイルスも
変異してしまった経過がある。有事の際の時は臨機応変な政策の
決定をしてほしいものです。政府の決断力の遅さには本当に実感します。"
19,2-9,3時間前,aao*****,"400人台だとイメージ悪いから
392人にするという
魂胆が見え見え。"
20,2-10,3時間前,xyz*****,"日本政府もあきらめ感が漂っているなぁ。
後は、解散して責任のなすりあい。
日本も終わりだ。
新種のコロナに飲みつくされる。
加藤官房長官本当にのんきなもんだ。
手だてを考えないとひどいことになる。
年末の企業休業とワクチン頼み。その前に何か策はないのか？"
21,3-1,3時間前,jub*****,イギリスで変種株が見つかり感染力がより強いらしい。安倍政権が初動に失敗して社会も経済も止まりましたよね。経済重視の菅総理にはぜひ早めの対策を期待したい。大変なことになりますよ。
22,3-2,3時間前,yao*****,"出たぁー、「月曜日では最多」
まるで映画の興行収入と表現が同じッ。
初日で歴代最高額とか３日間で最高額などなんでもいいから最多最高を探し出すッ。"
23,3-3,3時間前,e3m*****,コロナの予防して感染したら、それが神の言葉だと思って諦めようよ
24,3-4,2時間前,buv*****,ちょっと前の木曜、金曜の数字ですよね。これって。
25,3-5,2時間前,tan*****,"東京の12月のコロナ死者数は72人
これで緊急事態宣言だしたら自殺者は何人出るだろうか

ちなみに東京の11月の死者数はコロナ→34人、自殺→198人"
26,3-6,2時間前,kad*****,"昨日日曜日池袋に行きましたが、めちゃくちゃ人いっぱい、
人も麻痺で、慣れた
感染拡大止まらない、当たり前"
27,3-7,2時間前,igu*****,"変に慣れてきて行動を全く抑制しようともしてない・・・スポーツでも駅伝もサッカーも普通に観戦者がいてるし。春にはこれら一連のでも全て警戒して、開催しても無観客必須だったのが一体どうしたことかと。
テレビ番組でも普通に観光地や繁華街での飲食店の推奨などが流されていては、それらをあおっているようなもの。なんでそんなのを普通に放送していられるのでしょうか？。
そして挙句の果てには政治家の宴会だらけの問題も含め、こんな感染拡大に貢献する要素が盛りだくさんでは減少などありえないし、今後少し警戒を強めて少々減少したら、またまるでウイルスの減少を阻止するためにあらゆるキャンペーンを復活・・・。オリンピックどころかこれでは何年も付き合わされて逆に経済に大変な傷を与え続けることになってしまいます。"
28,3-8,2時間前,fsh*****,"日本には世界一の医療インフラがある。
しかし医療提供体制に多くの問題があり欧米の僅か10分の1以下のコロナ患者の発生で医療が逼迫する。
このままコロナ患者が増え続ければ間違いなく医療が崩壊するだろう。
加藤正則氏の著書「医療40兆円の無駄」を読めば分かる。

いまやるべきこと。
１）コロナ患者、重症患者、救急患者の医療を担う病院の診療報酬を倍増させること。
そうすればコロナ患者の受け入れ病床も増やせる。看護師も集められる。
２）コロナ患者や重症患者、救急患者のうち集中治療を行うべき患者のトリアージの方法を決めておく。老衰状態の高齢者は集中治療の対象外とすることを全国民のコンセンサスとする。

以上を速やかに行うべき。
医療崩壊してからでは遅い。"
29,3-9,2時間前,lze*****,"朝日新聞の相変わらず印象操作に都合の良い数字のみ列挙する煽り湾曲記事。

新型コロナは「最多、最多」で経済を破壊、希望を破壊、80年あまり朝日新聞の構造は変わっていない。

いまこそ国民は数字にあたって、データを正しく読んで、ファクトから正確に事態を把握して、朝日新聞に扇動されないようにしないと、益々世の中が
滅茶苦茶になる。

朝日新聞の悪意しかない煽り湾曲報道に、洗脳された輩が騒ぎ、緊急事態宣言再発令という事態になったら、今度こそ日本経済は破綻して、朝日新聞の思惑通り、日本国は崩壊する。"
30,3-10,2時間前,cal*****,東京の場合「何曜日では過去最多」という報道が多いのは他県と集計システムが違うせいかな。確かに「過去最多」には違いないわけで、「偏向報道」とか「煽り」とか言うのはどうかな。客観的事実に目を背けても仕方ないと思うけどね。ともかく外出時にはしっかりマスクを付けましょう。鼻出し、とか「顎マスク」はだめですよ。
31,4-1,2時間前,tin*****,"先週の月曜より検査数は4000件減ってますね。
水曜以降はまた過去最多。
毎日会見するなら抽象的なお願いばかりしてないで、いい加減国基準重症者数とか実際の病床使用率、豊洲クラスターの状況とか厳しい現状発信してからお願いしないと。"
32,4-2,2時間前,can*****,"感染者の数字で議論が進んでいるみたいだけど、本当に重要視するのは重症者数ではないのか？
だとすれば、今日の重症者数は第三パピークよりも15人も減っており、感染が抑えられつつある、と言えるだろう。"
