,number,ユーザー名,コメント
1,1-1,temporary,"（文頭）東京都は先月中旬ぐらいから濃厚接触者の検査も追跡もやめた。
それ以降、減るのは当たり前だ。

全検査数は増えてるなんて反論もあるが
単に陰性であることを確認するために、自費で検査する人が増えたからだ。
民間のＰＣＲ検査は盛況だし、郵送すれば検査してくれるＰＣＲ検査キットなんてものもある。

濃厚接触者を放置して、特に心当たりがない人の検査が増えれば
陽性率が下がるのも当然だ。（文末）"
2,1-2,ウイルスより怖いのはニンゲン,"（文頭）ヤフコメ　「お金くれないと、自粛しない！」
ＶＳ
国会議員　「お金くれても、自粛しない！」

中国よ　ついてこれるかな？（文末）"
3,1-3,tir*****,"（文頭）少なくてびっくり！
このまま継続してくれるといいのですが。（文末）"
4,1-4,kgr*****,"（文頭）確かに感染者数はかなり減っている。年末年始は帰省などで自主的にPCR検査を受けて2000人に拡大した様な感じがします。PCR検査せず帰省せずの場合は無症状感染者も多くいて、地方に飛び火したのかもしれない。

ただ、現在、濃厚接触者を追う自治体と追わない自治体を公表して欲しい。変異株での対応で埼玉県は濃厚接触者を追っている感じはするのであるが。
感染者数が減少傾向だからこそ、より実態性のある濃厚接触者のPCR検査も必要かと感じます。緊急事態宣言は1ヶ月延長となったので、実態性をつかむ事が重要だと感じます。

飲食店の補助金も一律性も見直すのも必要です。源泉徴収を基準にし店舗の大きさも入れ妥当な補助金を導入が必要なのでは？補助金バブルの飲食店も多いと思います。
そして苦しいのは飲食店だけは無い事も検討する必要があります。（文末）"
5,1-5,buy*****,（文頭）ほらほら～、宣言解除目安になったね～！！！いつ解除すんの？？？明日？（文末）
6,1-6,abc*****,"（文頭）今回の緊急事態宣言は発出時に内容が前回に比べて緩いってネットでも言われてる上に、出歩いている人も普通にいるしテレワークも浸透していないって言われているなかで、こうやって減少傾向にあることに不思議な気持ちがする。
自然減とか季節要因とか色々可能性はあると思う。
緊急事態宣言との相関関係ではなく因果関係をしっかり検証してほしいと思う。（文末）"
7,1-7,**********,"（文頭）急減すぎ

操作しすぎｗ（文末）"
8,1-8,plu*****,"（文頭）減ったのは喜ばしいことだが、
これほんとに実態を表しているのかな・・？
少ない月曜とはいえ、急激すぎる減少。
五輪開催を是が非でも、というための調整でなければいいが・・。（文末）"
9,1-9,sma*****,"（文頭）濃厚接触者も追わなくなったのでいまひとつ信用できない
いまだに検査をすぐしてもらいない状況が続いている（文末）"
10,1-10,pan,（文頭）自分が陽性反応を受けて早半年。こんなに長引くとは…（文末）
11,2-1,WHOLE LOTTA CORONA,"（文頭）【勘違い】【都合のよい解釈】

ワクチンを打ったら後は何をしてもよい。

と考えている人が一定数いる。

・ワクチンを打てば感染しない
・ワクチンを打てば人に移すことがなくなる
・ワクチンを打った者同士はマスクも距離も不要

と、どういう訳なのか、ワクチンがコロナを全面予防するみたいな都合のよい解釈が独り歩きしている感もある。

インフルエンザもそうだけど、ワクチンはあくまで「重症化させない」為のものであり、感染を防ぐものではない。

正しく啓蒙しないと。（文末）"
12,2-2,bcp*****,"（文頭）ゆりこたそ～
萌え萌えきゅん～（文末）"
13,2-3,チャン,（文頭）こんなに減るんですね。。（文末）
14,2-4,akx*****,"（文頭）日本は『お願いします』ベースで
こんなに減るんだー
医療従事者の方が少しでも休まります様に（文末）"
15,2-5,kat*****,（文頭）月曜日としても、激減ですね。検査数の兼ね合いでしょうか。（文末）
16,2-6,yml*****,"（文頭）久々に感染者数が400人切った！！
でも累計者数が今日で10万人超えたらしいし、緊急事態宣言の延長が正式に決まりそうだからね。（文末）"
17,2-7,jub*****,（文頭）緊急事態宣言解除の目安となる500を下回りましたが、宣言延長するのでしょうか？（文末）
18,2-8,hir*****,（文頭）ワクチンが一般に供給出来る迄飲食店の時短を補償して続けるのが死者を少なくするのは間違いなさそう（文末）
19,2-9,ryu,（文頭）新規感染者よりも重症者が減ってベットが空く方が重要。まぁ減ったのは回復したのか亡くなられたのかは分かりませんが…（文末）
20,2-10,１２３４５６,（文頭）明日以降もこれ以上に減らないといけない！（文末）
21,3-1,,"（文頭）菅さんの言う通り2月7日で解除できそうです。
日本国民は偉いですね。
オリンピック開催、現実になりました！・・・（文末）"
22,3-2,acs*****,"（文頭）こりゃ神奈川県の結果が楽しみだ！

並ぶか？逆転か？はたまた小細工がうまく行くか？（文末）"
23,3-3,ori*****,（文頭）やろうぜ東京五輪！！（文末）
24,3-4,yos*****,（文頭）この減り方はどういうことなんだ。コロナが弱毒化してきたのかな？！（文末）
25,3-5,giroushi***,（文頭）凄いなこんなに都合よく減るものなのか？毎日の死者の数は凄いが？（文末）
26,3-6,足下を見ろサソリがいるψ(｀∇´)ψ,"（文頭）3回目のピークは過ぎた
またマスクしない奴が増えてくる
そんで4回目のピークが来る
って事だ（文末）"
27,3-7,もふもふ,（文頭）検査数が少ないというのもあるけど、単純にこの数を見て少しホッとしてる自分もいてます（文末）
28,3-8,zea*****,（文頭）500人下回ったね！よかったね！（文末）
29,3-9,kohaikani,"（文頭）わお。もろもろの事情を加味しても、この数値はなかなか刺激的な数値。重傷者がどんどん減ってるのも好材料やね。

テレビなんかでは、「銀座の街は～」って、人が多いところをやり玉にあげてるが、住宅街の閑散度合いはなかなかのもの。これをしっかりキープできれば、ワクチン開始までなんとかしのげそうな気もしてくるってもんだ。（文末）"
30,3-10,hun*****,"（文頭）嘘つけ！！！！！
あからさまに都合良すぎでしょ！！！！（文末）"
31,4-1,jet*****,"（文頭）数が増えているよりは喜ぶべきかもですが、濃厚接触者を追うのをやめていて、それでも埼玉県での英国変異株クラスターでは濃厚接触判定じゃない人が念のためで検査して陽性者になっているので、正直喜べないです。きちっと追って欲しい。
もっといるだろうし、保健所を補強しておくべきだったし…本当に宣言の効果出ているのだろうかと思ってしまう。（文末）"
32,4-2,as0*****,"（文頭）さぁとにかく何かの批判したいマン達は今回は一体どんな批判を繰り広げるのでしょうか？感染者が増えたら誰かのせい、感染者が減ったら誰かを疑う。
彼らの目的は何なのでしょうか？（文末）"
33,4-3,k*****,（文頭）濃厚接触者の範囲を狭めたので、単純に比較はできない。（文末）
34,4-4,qty*****,"（文頭）検査数減らしただけじゃん(笑)
結局、経済最優先なんだよ。（文末）"
35,4-5,m*****,（文頭）計画減少だろ（文末）
36,4-6,典型的ヤフコメ民（40代独身男非正規）,"（文頭）増えても減っても文句垂れるのな
身近にいたら嫌なタイプだなぁ（文末）"
37,4-7,yuy*****,"（文頭）一気に減りました。
もしかしたら、500人切るかと思っていたが。12月14日以来の低い数字。（文末）"
38,4-8,どんぐり,"（文頭）月曜だし、400台まで下がるんじゃない？なんて思ってたら300台か。すごい減り方。

GOTOやめてからしばらくしてもめちゃくちゃ増えたし、やっぱり、年末年始の浮かれ方が終わったのと飲食店の時短が効いてるんだなぁ。
これからどうするんだろう。飲食店が肝だと分かってしまった。（文末）"
39,4-9,tonnkarasurari,（文頭）1月22日から濃厚接触者の検査を止めている。4人家族が標準としたら、この4倍はいるだろう。オリンピックの開催の為にこんな事をやっているのなら驚きます。この数字をまともに信じていいのだろうかね。（文末）
40,4-10,reo*****,"（文頭）街の人手は減らないのに感染者数は劇的に減る。不思議だ。
この数字が本当に正しいなら夜に飲み屋に行く奴のせいでコロナが蔓延してるんじゃないのか？（文末）"
41,5-1,mas*****,（文頭）毎回思うのですが、「重症者が減った」って、回復して減ったのか、亡くなって減ったのか、どちらなのかがわからないと、重症者の減少の捉え方がわからないんだけど。（文末）
42,5-2,*****,"（文頭）絞りに絞った検査数、もしかしてこれで感染者減ったとか言い出すんじゃないよね？

国民全員こんな数字に騙されないよ。（文末）"
43,5-3,tak*****,（文頭）発表数は減少してます。濃厚接触者を追わなくなっての数字と言われています。それでも、少なくなればモチベーションもアップできます。順調に減少しますように。（文末）
44,5-4,mda*****,（文頭）何時も週はじめは感染者数は低いですからね。それに保健所も濃厚接触者を追ってませんので検査数も少ないのでしょうね。感染者が少ないのでは無くただ検査数にヒットしなかっただけでしょ、週末には徐々に増えるでしょ。（文末）
45,5-5,koi****,"（文頭）やはりGoToを昨年末に停止したことで、減ってきているのではないでしょうか。
GoToでみんなで飲んで騒いで食事する人が多かったんでしょうね。（文末）"
46,5-6,zar*****,（文頭）数だけ見たらかなり減ったが、額面通り受け取って良いものか（文末）
47,5-7,tac*****,（文頭）何か怪しい気がするのは自分だけかな（文末）
48,5-8,sen*****,（文頭）やはりGoToトラベルの影響は大きかったんだな（文末）
49,5-9,con*****,"（文頭）全然アテにならない。
マスコミは誰に忖度してるの？（文末）"
50,5-10,you*****,"（文頭）おーいいね
下がってきてる（文末）"
51,6-1,bdk*****,"（文頭）東京都は２２日、新型コロナウイルスの感染者急増を受け、感染経路を追跡する「積極的疫学調査」の対象を同日から縮小することを決め、都内の保健所に通知した。

濃厚接触者の追跡を縮小して野放ししたらそりゃ減るよ。自宅療養(自宅放置)で死亡する人や医療逼迫を考えれば、まだまだ緊急事態宣言を解除できる状況ではない。

3密を避け、手洗い消毒、マスク着用を徹底しましょう。（文末）"
52,6-2,tot*****,"（文頭）少なっ！
宣言解除して下さい！（文末）"
53,6-3,sna*****,（文頭）良い傾向！（文末）
54,6-4,nakooooooo,（文頭）油断禁物（文末）
55,6-5,mik*****,"（文頭）素晴らしい

ヤフコメ民は減りすぎて悔しいみたいですが、良いことですね。（文末）"
56,6-6,fwi*****,"（文頭）人数が減ったのだから元の検査の仕方に戻したらどうだろうか？
検査方法が変わっているので単純に比較ができない状態です。（文末）"
57,6-7,岡本ひろげん,（文頭）もういい加減にしろ！（文末）
58,6-8,q*****,（文頭）まだまだ！！（文末）
