,number,ユーザー名,コメント
1,1-1,GBA*****,"数値基準を設けて解除しろや

いつまで匙加減やねん。。。"
2,1-2,dio*****,お尻しか見えませんが、中身は？
3,1-3,kam*****,"春から言われていた「とにかくPCR検査を増やせー！」「そんなことしたら治療の必要のない無症状感染者が無駄に掘り起こされて医療がパンクして大混乱になるだろバカ！」っていうのが、いまようやく実現してるんじゃないのかなあ。つまり、大繁盛らしい民間PCR検査ってやつで、大量の無症状感染者が掘り起こされた結果なんじゃないのかなあ。
だとしたら、緊急事態宣言とか無意味でたいしてさがらない可能性高いような気がするわけだけど。果たして。"
4,1-4,ピンボール,"一ヶ月で抑えられる根拠が無いのに期間を決めるのはなぜ？

これも二階への忖度ですか？
春節前に解除して、入国歓迎とか言い出す感じですよね？"
5,1-5,shinzitunome,"なんで？
やる前から期限もうけるん？頭わいてるんか？"
6,1-6,ｐ**ke***,"全国一斉にして給付金を配るべしだ。
生ぬるいことをしても効果は限定的。
一気に減らさないといつまでも続く。"
7,1-7,kom*****,"どうせ延長するから最初の期限なんてどうでもいいし
そもそも宣言無視する人には期限なんて関係ない"
8,1-8,yam*****,"今日の全国の状況を見る限りでは数日中もしくは明日突然にも
緊急事態宣言の全国発動はありえるな"
9,1-9,オラ・ジョヴォヴィッチ,"今回，数値の基準が全くない。
都県知事から言われたから動いた的な感じだし。
京都大学の教授によれば，単なる飲食店の時短だけだと，幾ら宣言出しても状況は変わらないとのこと。
2/7に状況が改善するには，去年みたいに7-8割の人出減少が本音だそうだ。
しかし，もうそんなのみんな応じないだろうし，大変なことになるぞ。"
10,1-10,King,"2月7日で落ち着くわけがない
まだそんなことも分からんの？"
11,2-1,マカロニサラダ,あんなヌルい緊急事態宣言じゃ、3月になったって抑えられないよ。ただの夜食時短要請だとね。
12,2-2,pyv*****,延長確定
13,2-3,kur*****,"日程がどうではなく、
どの水準になったらいいのか、駄目なのか、
そこを明確にすべき。
指標がなければゴールは見えない。"
14,2-4,ydg*****,"こうやってどんどんどんどん基準を曖昧に緩くしていったせいでここまでなってて、来月7日の解除だって今や1日5000人
3000人ぐらいでいいでしょで減った感覚になり解除、終いには支援金も協力金も出さず経済経済で医療は崩壊"
15,2-5,yoj*****,始を決めるのは遅いが終わりは早く決めれるんだね。二階に気遣いばかりだね。
16,2-6,。,なんか飲食だけが悪物みたいにされてるが、若い世代が友達同士恋人同士で会って拡めてるパターンもあるのでわ
