,number,ユーザー名,コメント
1,1-1,年貢がキツイんじゃ,ご飯は黙って食べよう！マスク着装とこまめな消毒。ソーシャルディスタンスを確保しよう。政府は給付金を出して国民生活をサポートします。　小学生でも納得出来る感染対策ですけど、老害キャンペーンでぶち壊したね。仕切り直しです。菅さんのお仕事は罰則規定のまえに給付金です。給付金。
2,1-2,qfc*****,"なんか小出し感が否めない。
もはやこの政権に対する信頼が無いからそう受け止めてしまうのかもしれないけど。"
3,1-3,qe8*****,連休は凄い人出でしたね
4,1-4,kin*****,"とりあえず国民に痛みを強いるならその前に自分たちでその痛みを味わおうか
それが先。"
5,1-5,mine,"表明したのは良いのですが、また諮問委を開催して専門家の判断を仰ぐのでしょうか。
そうこうしているうちに感染拡大がますます進行してしまい迂遠なことだと思います。"
6,1-6,くれない丸,"大阪から神戸にかけての都市部飲食店を閉鎖し、手厚い補助をすればいいけど～
なんか意味の無い田舎のうどん屋が８時で店を閉めても、「いつもどおり」でしょ"
7,1-7,unk*****,相変わらず遅いね。誰かのご機嫌を伺ってるのか？
8,1-8,per-adra,ガースーおせーよ
9,1-9,風吹けば名無し,"ハリボテの緊急事態宣言
中身も覚悟もない"
10,1-10,aes*****,"後手なんだよなぁ。。出すなら徹底的に。
広まる前に感染を抑える姿勢を見せないと。"
11,2-1,,いちいちやる事が遅すぎる。
12,2-2,wil*****,"とりあえず全国一斉に発出し、可能な所から解除していったほうがいいと思うが、、、
小出し小出し感が否めない気がする。"
13,2-3,cjz*****,判断が遅い！
14,2-4,pqk*****,要請した3県だけなの草
15,2-5,mey*****,やるのが遅いね国は
16,2-6,eps*****,週末じっくりと寝かせました、ってか。悠長なことで。。
17,2-7,n36*****,これをもっと早くやれよ！
18,2-8,yoy,"表明ではなく決断を。

状況判断が遅い。"
19,2-9,ドン,大村知事 あのー 愛知は？
20,2-10,wqp*****,"知事のせい、専門家のせいにするんでしょ？
そんな首相は不要です。
直ぐにやめてください。よろしくお願いします。"
21,3-1,mon*****,"菅は総理大臣は向いてない。
令和を発表したあたりで
「令和おじさん」と
ちやほやされ、そこで
止めとけば今もただの
令和おじさんと言う
キャラで維持できたと思う。
結局、文章をボー読み
してるだけで気持ちが
全く伝わってこない。
こんな学生以下の人をなぜ
総理大臣にしたのか
意味が分からない。"
22,3-2,yon*****,全国でいいやん
23,3-3,A***,後手後手の対応で間に合うの！？
24,3-4,生レバ解禁,時短営業するくらいで、他は何も変わらない日常。
25,3-5,sil*****,表明って、発令はいつなん？
26,3-6,tad*****,小出しじゃなく一斉お願いします。
27,3-7,バザー君,石破茂が首相ならもっと対応が早かった。
28,3-8,aok*****,相変わらず、遅いですね。
29,3-9,٩(๑`ȏ´๑)۶,"次は愛知ですか？

もう一気に全国にしたらどうですかね？
短期決戦で！"
30,3-10,drl*****,政府の対応マジで遅すぎる。支持率が下がったからの対応だろう。国民の健康と生命は首都圏だけじゃない。経済を回すって、いい加減同じフレーズを止めて欲しい。あと、分科会の意見とも。最後決めるのは総理の判断でしょ。危機管理能力ゼロの内閣に国民は失望している事に早く気付いて、総理は二階と共に政界から去って頂きたい。もう、老害だ。
31,4-1,qqk*****,遅すぎるよ！
32,4-2,suk*****,"出す出さないではなく
日本人のモラルの問題"
33,4-3,dee*****,とりあえず、良いんじゃない？
34,4-4,tom*****,"迅速な対応が求められる。

拡大してからでは遅いだろう"
35,4-5,ppf*****,電車、バスも止めろや
36,4-6,起業家かずや,"本当に確定なのか？
表明してほしい。"
37,4-7,sio*****,"全てが後手後手…。
そして発言にもブレブレ…。
本当にこの国のリーダーなのだろうか。"
38,4-8,よしくん,だったら、関西圏と同時に東海エリア、福岡エリアという他県から通勤するエリアを一斉に追加したら？
39,4-9,cti*****,渋々全国に緊急事態宣言を出していくのでしょう。頼りない菅政権です。
