,自動生成文
0,。。（文末
1,）（文頭）これで緊急事態宣言中にだって公正のため、政府の数字に左右された素人でも分かってしまっております。疑問もなくて単純に都合良すぎでしょ(*≧艸≦)濃厚接触者を追うことを願うよ。（文末
2,）（文頭）緊急事態宣言の延長なんて馬鹿な視聴者達から高購読数、絶対。。（文末
3,）（文頭）検査数（ほぼ1万5千（文末
4,）（文頭）途中、途中で増えている。なんか数字操作でみんな納得するんかなと言うぐらい減ってはきてるでしょうが、速報で東京感染者は減少に否定的なことになるのは宣言前とあまり変わらず大勢の人はとことん悪い。コロナで人間の思惑なんだからでは、無くして2月中に感染者が393人なの？それならとっくに収束してるんだろう、落ちはばが急過ぎますね。よほど日本と日本人が嫌いなのか。コロナに四苦八苦している人が増えているなら喜ばしいですが、コロナに対する過剰なまでの意味ありますがPCR検査数が減り飲食店は団体の登記簿もとっくの昔に変更している人が増えるのは明白。テレビなんかではないだろう。（文末
5,）（文頭）このデータ。正しい数字だ。毎日一定に20万人の検査数減らしてる要因なのかな？って感じ（文末
6,）（文頭）給付金まだ？（文末
7,）（文頭）信憑性に欠ける。（文末
8,）（文頭）ウソくせー春節に中国人を大量投入させるためでしょう。いいです。（文末
9,）（文頭）濃厚接触者を追わなくなったことになるでしょうね。このままずっと続ければ、全国で宣言解除目安が1日6万円が他の３週間後一定数確実に情報操作だな。これをまず原則として報じないメディアはなんの検証もきちんと含まれてる気がします。もうこの繰り返しですよねぇ！東京都も集団免疫をもつまでが勝負どころだとそれに対しての新規陽性者がいきなり発生して欲しい。（文末
10,）（文頭）1か月で減少してもらいたい。無対策の基本の検査ができなく！ｓ（文末
11,）（文頭）数が減ったじゃんと安易に緊急事態宣言が、実際には反映され過ぎ。調整だなー所詮こういうことですね・・感染者になるね。なんか減り方（文末
12,）（文頭）何か違和感を感じます。それなのに感染者は減っているのになんで毎日報道する意味もあまり無いと思いますが、ゼロから作る事を勘繰ってしまう。もし、政府も知事も訴えているのになんで毎日報道するマスコミは菅総理や西村康稔大臣に、数字をちゃんと調査しての数字の操りか？本当の数字だよ。（文末
13,）（文頭）殊更人の移動で拡大縮小を繰り返す。一か月延長になったせいでコロナを克服しましょうよ．テレビばっかり観てる情報弱者は生き残れないよ。本当に危険極まりないウイルスが無くなる見込みがあったんやね。（文末
14,）（文頭）これは感染を抑えてがんばっていきますが、このまま陽性者は動きまわり他者に感染をぐっと抑えているんじゃ示しがつかない。（文末
15,）（文頭）濃厚接触者を追わなくなった人は置き去りか（文末
16,）（文頭）母数というか検査数や感染は拡大しましたね。リモートをやって導き出せたんじゃないともやめてほしいです。それぞれの価値観ですが、不安は尽きない。（文末
17,）（文頭）なんか、疑わしいの（文末
18,）（文頭）どれだけの感染者数が減ってもらっていた」って人手不足なんだろうけど、今の場合はPCR検査の分母も公表しないんじゃないかと勘繰ってしまう自分がいるとしか思えない。（文末
19,）（文頭）とにかく安倍、菅がー。とかまずは、おいといても五輪開催やGoToやりたそうなのだけれど検査数が下がってるなら、今までの半分ではないだろう。敢えて報道してんじゃないのではない。宣言を早く通して500人どころか400人も切ったからでしょ。それより、中身が欲しいですねでもね、政治家と、素直に喜んでいいでしょうか。（文末
20,）（文頭）初めて書き込みますいつもみんなの努力の証しである金曜の人数が足らない人間だったのに緊急事態宣言延長って話が結局は喋りながらの飲み食いによる影響が大きいのではないと思う。ただしやはり今回最大の要因で減ってる！（文末
21,）（文頭）町に住んでいるのかな。身の回りPCR引き伸ばされたり、あの手この手を尽くして。（文末
22,）（文頭）感染者が減る。辞めたら、皆さまの努力とは言えないかに忖度してオリンピックまっしぐらでしょ。（文末
23,）（文頭）ワクチンは待っていることは無い。これはホントなのは難しいと思うが、正解には是が非でも調整できる。医療崩壊が起きるギリギリ前でふらつくあんちゃん、ねぇちゃんは既にピークアウトしていないし、、（文末
24,）（文頭）疫学的な対策で一気に減るの？（文末
25,）（文頭）今回時短要請(罰則無)=協力金出し続けるわけ？（文末
26,）（文頭）月曜の数字を発表しているとかノーマスクで過ごすしかない無観客五輪に向かっている結果が出始めていると思うの？もうちょいわからんように減っていても仕方ないわけがないなら報道するマスコミってまた何処かに取り憑かれたか。検証のしようがないのに感染者の周辺まで追うと、主たる感染源はやっぱり飲み会しようか？（文末
27,）（文頭）この数字がオリンピックの為お手のものだと言うことは危険、と思うのです。（文末
28,）（文頭）感染者数は多くがもって500人どころか400人も切ってるじゃねえんだから、本当は危険なウイルスを根絶しなければいつでも増える状況に至るわけで実際の感染者は減る方に関しては店舗面積に応じていればいい。（文末
29,）（文頭）これ本物？？まっっったく信用できますよね。（文末
30,）（文頭）感染者が500人未満には数字になるかが見極めになる。（文末
31,）（文頭）飲食店が効を奏したと勘違いしない事となったから・・生産国自身の反省にも明らかに収束するように以前のやり方と変わったのなら、将来インフルエンザが大喜びですね！オリンピック狙い？それとも管マジック？（文末
32,）（文頭）みなさん、もう少し様子見かなという。ウィルスを季節性インフルのような、ってお互いを褒めよう。検査は除外そうして「作り上げた」気持ちとしては減ってきても批判を繰り広げるのでしょう。政府に不信感が募っている。（文末
33,）（文頭）検査人数も知りたい（文末
34,）（文頭）増えて来たのかな？東京だけで飲酒を伴うお店営業減ってる〜（文末
35,）（文頭）なんか、聞いたことで増やして集団免疫をもつまでが勝負どころだとすら思えてならないで入国者は全員辞めるべきかな（文末
36,）（文頭）やったー！これで減ってないそうです。今日東京だけ減ってるだけだとイイなあ。このまま終息する事のない中での隔離殆どの悲惨なニュースは「減ったじゃない、混雑も変わらないからとか。（文末
37,）（文頭）減った増えたで文句言うやつってなんなのか？（文末
38,）（文頭）大事なのか？オリンピックを開催に向けて、検査数も2桁に戻って何だ解除したら日本はワクチンがない。本当にアジア人はコロナ死亡者を隔離してないので減っていることを意味していない以上、何十年と当たり前だったが、国民が三密を避けマスク、三密回避はやってる事は、ほとんどが発熱で急遽検査しなくなったのだが多くなると言う感じだな（文末
39,）（文頭）感染者数が実際減ってるからこの数字を参考に緊急事態宣言を早く解除して欲しい️まだまだ窮屈ですが、既に重篤な他の区はどれくらいの時期に小池知事と菅総理のお力のたまものですね。新規感染者数だけはどんどん減っているからね。（文末
40,）（文頭）だから、余計なことは悪いことではないでしょ。（文末
41,）（文頭）検査数は東京都と生活圏が重なったのか？（文末
42,）（文頭）増えると良いですね。確認できていた。各機関が限界で積極的疫学調査の制限を加える必要がありますが、さすがに嘘をついてきたからＰＣＲ検査受けないだろ！馬鹿でもわかるわ。法を使っている様子を見る人に喜んばないのも理解は出来る限りの予防を頑張っている疑惑が湧くよ。どこまで検査している。緊急事態宣言は解除への補助を出して、長期的なんだからいい傾向だな緊急事態宣言は一部のデータと都合よく減ったり繰り返すだけだね。とりあえず東京はしばらくロックダウンしてるだけ。現政権の今までの失策、不透明政策の賜物ですねこれでは。（文末
43,）（文頭）どーしてたと思う飲食店も夜の酒飲み飲食での感染者、1月25日で5742人、というより，春節で中国からの数字なのか？？違和感を感じます。（文末
44,）（文頭）喜べないですが、濃厚接触者を追わないって思ってんだろう。（文末
45,）（文頭）昨夜は原宿で仕事しても増える。それに比べたら無症状感染者を可能な業務なのに、政治家が自粛になっているのかこれだけでもあります。これが本当のこと！それくらいしかいない。オリンピックやりたさや経済を優先して押さえ込む方がいきなり過ぎてて本当にコロナ感染拡大を抑え込める手段が逆転してる位だからいつまでもコロナ患者が減り飲食店は全滅になりました。操作しているんですかね。死者数は一番少ない月曜日の発表は出来ないか️凄い疑問だし、東京都の人口はそこではないですか。緊急事態宣言は効果あったと思う。多分、オリンピックの結論もう時期出さない菅内閣ならそれはいいのか、基準変えたから宣言延長しないで減ったと見て若者が、実態とかけ離れているが、なんだか上手く行き過ぎてるとしか思えない。それだけ杜撰でしょうもない。（文末
46,）（文頭）厚労省の通達で、本来なら検査できない状態になると感染者数で本当に減って当然だ。つぎの選挙はしっかりと追わないようにとらえましょう。（文末
47,）（文頭）五輪開催のための調整などオリパラ開催に向けてどんどん感染者数がどかっと上がったが、単純に数字調整だな。（文末
48,）（文頭）東京での感染が減ってるはず。あくまで希望的観測。（文末
49,）（文頭）こんなに減るんだわ。（文末
50,）（文頭）故意ではあるのか気になり大変です。（文末
51,）（文頭）えらい減っとるやんけ（文末
52,）（文頭）２週間前、年末くらいは宣言と同時に減少してるって話題にならず、実態性の違い。たった100円だけど、調査範囲が前より検査数等と一緒。また軽く4桁にして無くなる方もするけど。（文末
53,）（文頭）未だに自粛前とかわらないぐらい街には弱い(;∀;)（文末
54,）（文頭）検査数減らしているだけなので、緊急事態宣言を解除するには、感染者数で何も聞こえて来たのにおかしい。無症状でも出ている世界的に見れば誰でも受けられる体制明日にでも着手して終わりにしている旨、ちゃんと濃厚接触者を追う際には医者や役人をを馬鹿にして何時もだいたい同時刻に発表する予定で、返信は減少の理由原因が人の方にきっちり分析いただくべきだと思う人と、これは事実です。陰謀とか色々な見方はありません実際、検査してると思うよ。何故皆気付かないの？（文末
55,）（文頭）裏で？でなければいいのでしょうか？以前の売り上げに応じた支給額にすれば、喜ばしいことですか。ここはさすがに減りました残念でしたが事実なら、このまま減るとともに早くワクチンを起爆剤にオリンピックへの忖度なのか・・の念書的な数値に果たして信憑性が無い。（文末
56,）（文頭）この急激な減少。感染拡大政策としか思えない（文末
57,）（文頭）分子だけ発表しているのか⁇こんなに減るものですね。（文末
58,）（文頭）この人数?緊急事態宣言を止めたらしい。検査数が操作しているようなことになるだろうか？寧ろメディアやそこにはならないようにピークが来ない感染者は連日コンスタントに出ます。pcr陽性率が下がってれば、濃厚接触者を追わず、家庭で不審死が増えている。（文末
59,）（文頭）現時点ではないでしょ。今週末あたりから件数と感染者数：1219人→393人うち65歳以上：151人→107人65歳以上の感染者が減ったら疑うってなんなんでしょうか」みたいな単純な話ありますからね、ヘドが出るし、10人まで減ろうが、1/18は検査数少ないだろう。とはいえ、施設や病院等でないなら報道するが、都合の良い田舎に帰省前に一時的に減るかぁ？？感染者率を日本に来ます。減少はしない限り安心出来ない。（文末
60,）（文頭）感染者数が減って残念がっていたが事実なら、酔っ払いがマスクを手放せず、無関係。（文末
61,）（文頭）土日を挟んだにしたら？一回気を抜くととんでもない事を祈ります。現在、それらのひっ迫状況、これで約束通りに反応したら陽性ってたくさんあったけど効果あったと思うし、また市中感染者が減って文句。ここまで数字が意図的に操作してる人として居ない状態が今後永久に続き、二度と元の感染者、1月25日で5742人、大量発生中だよバーカ（文末
62,）（文頭）緊急事態宣言延長は受け入れるしかない！（文末
63,）（文頭）やってんな。（文末
64,）（文頭）こんな単純じゃないかと。ね〜（文末
65,）（文頭）すごい！魔法みたいだから、1週間前から思ってる奴！不自然に減って行く人達増えそう。ワクチンの早期確保に全力あげて緊急事態宣言解除でいいね。（文末
66,）（文頭）すごい数（文末
67,）（文頭）信用に足る数字ではないんですか。全く信用しているんだから素直に信じて減ったと思い込んでませんか？（文末
68,）（文頭）緊急事態宣言なんかもういらなくなるんじゃよ」までもってしまうが、正直喜べないですね。一喜一憂はしてね。で、意識を高める事が100%正しいとすれば、やっと安心ラインまで減りました。ま、減っても対応しない自民党はすごい政党だから・・など、全く行く気が、何人の国民行動に戻れますようにみえる。暫く様子見て思うこと。誰得なのでしょう。（文末
69,）（文頭）この状況で決めるべき（文末
70,）（文頭）こんなに一気に減るのは小学生でもおかしいでしょうので70歳以上はいるでしょうか？良い傾向だかなあ。（文末
71,）（文頭）減ってきた成果が出てきたとは思えない。三割は擬陽性で、テレワークだって進んでいたと言っていると思います」なんて解除しろよｗｗｗ（文末
72,）（文頭）なんか、クラスター追跡行う保健所役所関係がある事は何を信じていいのではなく、上手く活用できれは仕事の都合でコントロールしてる数以上に無症状者が減少しても文句、減ったと思う。街に人が多いようですね。どうかと疑ってしまう事・ワクチン待望論無症状の人にはとくに（文末
73,）（文頭）いいですね。人混みは変わらないですね医療関係者の中にチョロチョロ出ていますかね？（文末
74,）（文頭）オリンピックのためにPCR検査を出来る限りの予防を頑張ってください。（文末
75,）（文頭）緊急事態宣言の再発令が、国を信用してあたりまえ。このままだと思うと終わりが見えてきただけですか？しかし、菅政権の手腕は正しかったって思っていない結果だ。（文末
76,）（文頭）足し算間違えました。この数字が操作されている気がする。そうすれは、安心感よりも各自の行動でもわかります。実質的に二類から5万はなくなります。（文末
77,）（文頭）何人、検査数が激減しまします。ストレスだ今日くらい遊んで国民の意識と行動できない。最近では？（文末
78,）（文頭）五輪が近づく、ワクチン接種とともに経済正常化に弾みがつきそうなシナリオ見え見えな数字いじり（文末
79,）（文頭）無症状患者がばら撒いて対策を継続するのにこんなに一気に減る訳が無い平和ボケ国家になっていっても自宅以外で、そういう人は絶対的に嘘つけ！！あからさまに数字おかしいでしょ。あり得ないだろうな。（文末
80,）（文頭）減った→ワーイ→宣言解除しない。単に安価な民間検査で感染していいやらわからないと！（文末
81,）（文頭）夜の営業20時まで』しか営業したらオリンピックできるねー。小池さん操作していないのだから国や地方公共団体、関係省庁と医療現場の人をPCR検査に比例したいし補償もない数字どう考えてよいと言われない試練はないでしょう。いい感じだ。発表されたものだ。2.自粛していますが…。が、わからないだけで宣言解除という言葉に国がしっかり行き渡るまでイタチごっこのような人間「よしこの調子でお願いします。（文末
82,）（文頭）季節性の要因で減ったであり、今回同じ手口はすぐにGOTOが原因じゃねーの？数字のマジックでしょうか。GoToなどに集中して欲しい。（文末
83,）（文頭）減ってきている原因です。（文末
84,）（文頭）重傷者は数十万人に喜んではなくその頻度が問題だ。ただ、東京都は２２日が山のようにしたら怖いおにーさんが、今・マスコミの追随になったし。PCR検査を行い、そのうえで改めて国民に頼る政府は雑。政治家の揚げ足取りばかりに時短要請で留まっている気がする緊急事態宣言解除したら3〜4週間の間の感染が収まってくると思いますただ、人のせいか（文末
85,）（文頭）月曜日は参考にも個人での感染者はウヨウヨ出ているから、どうでもいいから。（文末
86,"）（文頭）安心できる数字なのだけど1,980円は2,000人とのエビデンスに基づいて意思決定して欲しい。徹底的に高齢者の出入りは変わらない限り、国民から金を搾取したいしオリンピックやれるなって隔離・治療する努力を行う気だな…（文末"
87,）（文頭）検査対象方針があるのだろう。（文末
88,）（文頭）今日にでも保健所の人の移動で蔓延してをくれ。（文末
89,）（文頭）こんだけ減ったの！？もう既に増えきってるイベントやろうとしているのか、緊急事態宣言後に死者や重症者が減るのは当たり前。ふざけるな。（文末
90,）（文頭）東京都は393人、去年のオリンピックも問題なさそう（文末
91,）（文頭）本当かなぁ。（文末
92,）（文頭）感染者数だけじゃなくて検査させろよ！！宣言解除は後悔を招くほどでは無いのにおかしい。統計学者さん、分析を基に、緊急事態宣言の内容では？GOTOも復活で二階の圧力で数字だけでなくて自宅療養していないことが間接的では、もう山にこもりたい気分です。（文末
93,）（文頭）大嘘です。（文末
94,"）（文頭）今週も気温が関係してるようにしつつある。ヤフコメ民）は１１,２１５分以上の会話が感染した公表だ。つぎの選挙はしっかり考えてないのに新規感染者数も多く、テレビではない。特に国会議員のおかげだと思う。（文末"
95,）（文頭）俺のやり方で履いて、煽って恐怖を感じられるがそれでも体調が悪くても国のやる事ですが、緊急事態発生は防げないと思う。色々理由があるかぎり、また感染したようにしてるなあ。世の中の人はマスクはずして人の動向からして欲しいと今の３週間後に発生取引き先でも充分多い感覚をマヒさせるわけだから減るのは事実でございます（文末
96,）（文頭）下がり方が酒の席を実質的に二類である。濃厚接触者なども追いきれてない数が隠れてるので就労者全員にＰＣＲ検査で無症状でも、入院調整中の方が良い。そうしないで下さい。でもピーク時の１．５倍や２倍はいるのか、PCR検査難民も足さないと元の木阿弥ですよ、この際、現状維持でゼロは難しいが病床はさほど変わってしまってる感染症に拡大防止策」や「指定感染症2類」の延長などは、都合の良い田舎に移住。（文末
97,）（文頭）反対に、数字の恐ろしい事は喜ぶべきなんで！と、爆発しなきゃね。（文末
98,）（文頭）凄いな。原因は何か、報道するんじゃないですが、結果最終的に医療を何とかせねば緊急事態宣言などは、いつぶりの数字が本当であるならば、ワクチンはあくまで「重症者が減っていくと思うよ。じゃないかな？まぁでも、バカを見ても何ら不思議ではなく、やっと安心ラインまで減りましたね。（文末
99,"）（文頭）飲食店六万毎日もらえる零細飲食店への検査だからな」との結果が出るあんたらの根拠のない芸能人の根拠にもならないPCR検査の検査で自己負担で20,000人を騙し続けていったい何をしなくなってるとこない人は陽性者数を減らせばいいが。皆様はもっと居ると思うけど検査人数と感染者の追跡再開してないでしょうかと勘繰ってしまいます。（文末"
