,自動生成文
0,たが、無理だったか。
1,責任回避のために「決意」で逃げたし、そもそもできなかった責任はとるつもりはないような気が。
2,最も検査数絞った陽性者減少と言われても怪しくて仕方ないけど。
3,。
4,場末の店は残るが都心の店は持たないな。
5,あまり世論調査とかマスコミに振り回されずに堂々と判断した地域から解除してしまうのがとても心配。
6,こんなに頼りない総理って初めてかも。
7,それに緊急事態宣言再度発出したら五輪の開催厳しいって言っていたが、無理だったか。
8,責任回避のために「決意」で逃げたし、そもそもできなかった責任はとるつもりはないだろうな・・。
9,。
10,飲食店だけへの、無駄なバラマキはやめてください。
11,過去三年間の納税額で支給額の決定をするべきです。
12,。
13,飲食店だけへの、無駄なバラマキはやめてください。
14,過去三年間の納税額で支給額の決定をするべきです。
15,。
16,老害が迷惑かけたからペナルティとして平民に給付金100万ばら撒け。
17,給付金も出さないで弱い国民は間違いなく倒されるぞ。
18,国民一人一人が頑張って少しずつ新規感染が減ってます。
19,日本人は本当に真面目ですよね。
20,それなのに政府は本当に小出しの政策しかしない。
21,補償もしない。
22,補償もしない。
23,補償もしない。
24,最悪な政府です。
25,。
26,２月７日で解除して欲しい。
27,。
28,1回出したら、解除が難しいな。
29,あまり世論調査とかマスコミに振り回されずに、ブレずに堂々と判断してしまうのがとても心配。
30,こんなに頼りない総理って初めてかも。
31,それに緊急事態宣言再度発出したら五輪の開催厳しいって言っていたが、無理だったか。
32,責任回避のために「決意」で逃げたし、そもそもできなかった責任はとるつもりはないだろうな・・。
33,。
34,２月７日で解除した地域から解除して欲しい。
35,。
36,２月７日で解除した地域から解除していくべきだな。
37,。
38,飲食店だけへの、無駄なバラマキはやめてください。
39,過去三年間の納税額で支給額の決定をするべきです。
40,。
41,1回出したら、解除が難しいな。
42,あまり世論調査とかマスコミに振り回されずに堂々と判断してしまうのがとても心配。
43,こんなに頼りない総理って初めてかも。
44,それに緊急事態宣言再度発出したら五輪の開催厳しいって言ってませんでした？？延長せざるを得ない状況なら難しいというレベルではないような気が。
45,最も検査数絞った陽性者減少と言われても国民の反感買うだけだし。
46,色々な産業が衰退して欲しい。
47,。
48,それでいいと思う。
49,東京も大阪もたいして減ってます。
50,日本人は本当に真面目ですよね。
51,それなのに政府は本当に小出しの政策しかしない。
52,補償もしない。
53,補償もしない。
54,最悪な政府です。
55,。
56,それでいいと思う。
57,東京も大阪もたいして減ってないし。
58,。
59,それでいいと思う。
60,東京も大阪もたいして減ってないし。
61,。
62,場末の店は残るが都心の店は持たないな。
63,1ヶ月を基本としても、順次抑えられたと判断してしまうのがとても心配。
64,こんなに頼りない総理って初めてかも。
65,それに緊急事態宣言再度発出したら五輪の開催厳しいって言ってませんでした？？延長せざるを得ない状況なら難しいというレベルではないような気が。
66,最も検査数絞った陽性者減少と言われても国民の反感買うだけだし。
67,色々な産業が衰退してしまうのがとても心配。
68,こんなに頼りない総理って初めてかも。
69,それに緊急事態宣言再度発出したら五輪の開催厳しいって言っていたが、無理だったか。
70,責任回避のために「決意」で逃げたし、そもそもできなかった責任はとるつもりはないような気が。
71,最も検査数絞った陽性者減少と言われても怪しくて仕方ないけど。
72,。
73,老害が迷惑かけたからペナルティとして平民に給付金100万ばら撒け。
74,給付金も出さないで弱い国民は間違いなく倒されるぞ。
75,国民一人一人が頑張って少しずつ新規感染が減ってます。
76,日本人は本当に小出しの政策しかしない。
77,最悪な政府です。
78,。
79,場末の店は残るが都心の店は残るが都心の店は持たないな。
80,。
81,場末の店は残るが都心の店は残るが都心の店は持たないな。
82,1ヶ月を基本としても、順次抑えられたと判断して欲しい。
83,。
84,だらだら続くのかなぁ…直前に延長発表されても怪しくて仕方ないけど。
85,。
86,２月７日で解除していくべきだな。
87,1ヶ月を基本としても、順次抑えられたと判断していくべきだな。
88,。
89,２月７日で解除した地域から解除して欲しい。
90,。
91,それでいいと思う。
92,東京も大阪もたいして減ってないし。
93,。
94,だらだら続くのかなぁ…直前に延長発表されても国民の反感買うだけだし。
95,色々な産業が衰退してしまうのがとても心配。
96,こんなに頼りない総理って初めてかも。
97,それに緊急事態宣言再度発出したら五輪の開催厳しいって言ってませんでした？？延長せざるを得ない状況なら難しいというレベルではないだろうな・・・・。
98,。
99,２月７日で解除していくべきだな。
